query_id,AP@10,AP@20,NDCG@10,NDCG@20
126,0.7031746031746031,0.7349948920188859,0.7213138446466999,0.7306070254456736
127,0.6433333333333333,0.5887426900584796,0.7055951822294814,0.6680043588987287
128,1.0,1.0,0.9132224589335863,0.9132224589335863
129,0.7856701940035273,0.8632768601503326,0.6932448399307676,0.742294338735772
130,1.0,0.8130341880341881,0.8789618730340989,0.7481515665044379
131,0.7856701940035273,0.8204959310841665,0.6966406693243452,0.7339483596339998
132,0.625,0.4033333333333333,0.6666666666666666,0.5957016376243472
133,0.9888888888888889,0.9546751429684865,0.8246381298411086,0.8563111656175808
134,0.7222222222222222,0.7222222222222222,0.7294859703006175,0.7294859703006175
135,0,0.10096153846153846,0,0.2601190772136599
136,0.8388888888888888,0.8262179995584659,0.8407036712771846,0.8429023388462976
137,0.7683333333333333,0.6444997672059309,0.7238681008614911,0.7048654067675025
138,0.19642857142857142,0.22733516483516483,0.3485825691831259,0.38215014323326557
139,1.0,0.9945983379501384,0.8934099845459849,0.7971991852476623
140,1.0,0.9888888888888889,0.9099932511506353,0.9115432869650861
141,0.6111111111111112,0.5722222222222222,0.7034069293659759,0.6966689781402269
142,0.959375,0.8925980585071492,0.9881032350722387,0.9694762783315356
143,1.0,1.0,0.8967688880596683,0.9208996696534245
144,0.7947278911564626,0.7787202380952382,0.9237894098439596,0.9057521582638527
145,0.8357142857142857,0.7073934837092731,0.803568175485555,0.7181845218187594
146,0,0,0,0
147,0.7023809523809524,0.7039543166671649,0.7039745848387227,0.7218902797572876
148,1.0,1.0,0.9889584719265552,0.9565570377779384
149,0.5541666666666666,0.6115946270923648,0.6541342762109525,0.721000289690778
150,0.7884920634920635,0.7425170068027211,0.9108026918023608,0.8978939740626176
151,0.9765432098765433,0.9538954158729699,0.8496912733833719,0.8811459510051214
152,1.0,1.0,0.8932808332119083,0.9031769134215345
153,0.9526289682539681,0.8622110517621351,0.9846080344975473,0.8610030577222879
154,1.0,1.0,1.0,1.0
155,0.6441043083900226,0.6383984092962423,0.7454306095578469,0.7482892662307713
156,0.9704861111111112,0.9704861111111112,0.9391048313980033,0.9391048313980033
157,0.6,0.4087154950312845,0.6505149978319906,0.5110372627272795
158,0.3611111111111111,0.3071428571428571,0.6577324383928643,0.5172562465673561
159,0.4833333333333333,0.4465525793650793,0.6114530019218707,0.6268693953642368
160,0.4305555555555555,0.4305555555555555,0.5842189667486151,0.5842189667486151
161,0.4611111111111111,0.45429693763027096,0.5927138114034837,0.5693133816620919
162,1.0,1.0,0.9589709479802913,0.9370476014860029
163,1.0,0.9384896584896585,0.9280933987882101,0.858596604769849
164,0.6427579365079364,0.7376918198558154,0.6290391465451074,0.7085295125220241
165,0.5833333333333333,0.4124800637958532,0.7539531690476382,0.6745051145976215
166,0.3333333333333333,0.3333333333333333,0.6309297535714574,0.6309297535714574
167,1.0,1.0,0.8236482953068749,0.8365858690904915
168,1.0,0.9369713225522733,1.0,0.9036045418244325
169,0,0,0,0
170,0.5845238095238094,0.5279401154401154,0.7722349873850949,0.7488689222923876
171,0,0,0,0
172,0.9107142857142857,0.805952380952381,0.967585115860867,0.9337627791316438
173,0.125,0.125,0.3333333333333333,0.3333333333333333
174,0.14285714285714285,0.14285714285714285,0.3562071871080222,0.3562071871080222
175,1.0,0.8916449907161983,0.8996240253971703,0.8718583308208786
Average:,0.6901194349962207,0.660337843012533,0.713644040664067,0.7012014866172016
