alpha,beta,gamma,mAP@20,NDCG@20
1,1,0.5,0.6679246612096043,0.7002760903626272
0.5,0.5,0.5,0.6679246612096043,0.7002760903626272
1,0.5,0,0.6501022393045595,0.6902244023393362
