alpha,beta,gamma,mAP@20,NDCG@20
1,1,0.5,0.7640240961987184,0.8249492588882582
0.5,0.5,0.5,0.7469616223474409,0.818989494574327
1,0.5,0,0.7645532038609885,0.8257010254076476
